subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0010328	alpha-thalassemia-myelodysplastic syndrome	skos:exactMatch	DOID:0112125	alpha-thalassemia myelodysplasia syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	atmds	LEXMATCH
MONDO:0010328	alpha-thalassemia-myelodysplastic syndrome	skos:exactMatch	DOID:0112125	alpha-thalassemia myelodysplasia syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	mesh:c563023	LEXMATCH
MONDO:0010328	alpha-thalassemia-myelodysplastic syndrome	skos:exactMatch	DOID:0112125	alpha-thalassemia myelodysplasia syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	acquired hemoglobin h disease	LEXMATCH
MONDO:0010328	alpha-thalassemia-myelodysplastic syndrome	skos:exactMatch	DOID:0112125	alpha-thalassemia myelodysplasia syndrome	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	alpha-thalassemia-myelodysplastic syndrome	LEXMATCH
MONDO:0010328	alpha-thalassemia-myelodysplastic syndrome	skos:exactMatch	DOID:0112125	alpha-thalassemia myelodysplasia syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300448	LEXMATCH
MONDO:0010329	intellectual disability, X-linked 77	skos:exactMatch	DOID:0112039	non-syndromic X-linked intellectual disability 77	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	mrx77	LEXMATCH
MONDO:0010329	intellectual disability, X-linked 77	skos:exactMatch	DOID:0112039	non-syndromic X-linked intellectual disability 77	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300454	LEXMATCH
MONDO:0010334	severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome	skos:exactMatch	DOID:0112123	deafness, dystonia, and cerebral hypomyelination	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300475	LEXMATCH
MONDO:0010334	severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome	skos:exactMatch	DOID:0112123	deafness, dystonia, and cerebral hypomyelination	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome	LEXMATCH
MONDO:0010339	X-linked epilepsy-learning disabilities-behavior disorders syndrome	skos:exactMatch	DOID:0112122	X-linked epilepsy with variable learning disabilities and behavior disorders	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omim:300491	LEXMATCH
