mondo_id	subset	omim_id
MONDO:0013235	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613347
MONDO:0013236	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613348
MONDO:0013253	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613399
MONDO:0013258	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613410
MONDO:0013265	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613436
MONDO:0013303	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613551
MONDO:0013340	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613643
MONDO:0013344	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613656
MONDO:0013367	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613688
MONDO:0013383	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613711
MONDO:0013384	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613712
MONDO:0013409	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613761
MONDO:0013416	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613778
MONDO:0013420	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613784
MONDO:0013498	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613950
MONDO:0013510	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613972
MONDO:0013554	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614070
MONDO:0013562	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614079
MONDO:0013568	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614090
MONDO:0013625	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614203
MONDO:0013633	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614212
MONDO:0013653	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614251
MONDO:0013664	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614279
MONDO:0013669	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614291
MONDO:0013685	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614320
MONDO:0013696	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614332
MONDO:0013713	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614371
MONDO:0013714	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614372
MONDO:0013723	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614382
MONDO:0013724	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614383
MONDO:0013727	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614389
MONDO:0013728	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614390
MONDO:0013729	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614391
MONDO:0013732	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614400
MONDO:0013733	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614401
MONDO:0013759	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614456
MONDO:0013765	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614466
MONDO:0013799	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614546
MONDO:0013855	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614680
MONDO:0013872	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614731
MONDO:0013876	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614740
MONDO:0013893	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614810
MONDO:0013919	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614847
MONDO:0013921	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614850
MONDO:0013946	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614880
MONDO:0013961	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:614897
MONDO:0014005	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615008
MONDO:0014036	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615080
MONDO:0014038	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615083
MONDO:0014041	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615091
MONDO:0014056	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615134
MONDO:0014092	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615232
MONDO:0014151	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615371
MONDO:0014184	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615432
MONDO:0014189	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615439
MONDO:0014207	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615489
MONDO:0014232	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615529
MONDO:0014241	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615545
MONDO:0014251	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615557
MONDO:0014265	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615590
MONDO:0014266	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615591
MONDO:0014299	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615670
MONDO:0014416	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615954
MONDO:0014442	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:615991
MONDO:0014488	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:616087
MONDO:0014494	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:616106
MONDO:0014629	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:616414
MONDO:0014639	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:616436
MONDO:0014674	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:616511
MONDO:0014680	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:616532
