subject_id	subject_label	is_mapped	is_excluded	is_deprecated
NCIT:C115371	Recurrent Childhood Oligodendroglioma	False	False	False
NCIT:C115372	Recurrent Childhood Pilocytic Astrocytoma	False	False	False
NCIT:C115373	Recurrent Childhood Pilomyxoid Astrocytoma	False	False	False
NCIT:C115374	Recurrent Childhood Pineoblastoma	False	False	False
NCIT:C115375	Recurrent Childhood Pleomorphic Xanthoastrocytoma	False	False	False
NCIT:C115376	Recurrent Childhood Protoplasmic Astrocytoma	False	False	False
NCIT:C115380	Recurrent Childhood Subependymal Giant Cell Astrocytoma	False	False	False
NCIT:C115381	Recurrent Childhood Supratentorial Embryonal Tumor, Not Otherwise Specified	False	False	False
NCIT:C115384	Recurrent Olfactory Neuroblastoma	False	False	False
NCIT:C115385	Recurrent Malignant Extragonadal Germ Cell Tumor	False	False	False
NCIT:C115427	Recurrent Malignant Extragonadal Nongerminomatous Germ Cell Tumor	False	False	False
NCIT:C115428	Recurrent Extragonadal Seminoma	False	False	False
NCIT:C115429	Recurrent Fallopian Tube Carcinoma	False	False	False
NCIT:C115430	Recurrent Grade I Lymphomatoid Granulomatosis	False	False	False
NCIT:C115431	Recurrent Grade II Lymphomatoid Granulomatosis	False	False	False
NCIT:C115432	Recurrent Sinonasal Inverted Papilloma	False	False	False
NCIT:C115433	Recurrent Pancreatic Neuroendocrine Carcinoma	False	False	False
NCIT:C115439	Recurrent Mycosis Fungoides and Sezary Syndrome	False	False	False
NCIT:C115440	Recurrent Merkel Cell Carcinoma	False	False	False
NCIT:C115441	Recurrent Primary Peritoneal Carcinoma	False	False	False
NCIT:C115442	Recurrent Lip and Oral Cavity Squamous Cell Carcinoma	False	False	False
NCIT:C115443	Recurrent Sinonasal Squamous Cell Carcinoma	False	False	False
NCIT:C115444	Recurrent Combined Thymus Epithelial Neoplasm	False	False	False
NCIT:C115445	Recurrent Childhood Kidney Neoplasm	False	False	False
NCIT:C115458	Refractory Childhood Hodgkin Lymphoma	False	False	False
NCIT:C115623	Adult Subependymoma	False	False	False
NCIT:C115966	Invasive Bladder Urothelial Carcinoma Associated with Urethral Carcinoma	False	False	False
NCIT:C115997	Localized Adult Undifferentiated High Grade Pleomorphic Sarcoma of Bone	False	False	False
NCIT:C115998	Localized Childhood Undifferentiated High Grade Pleomorphic Sarcoma of Bone	False	False	False
NCIT:C116316	Sinonasal Adenocarcinoma, Intestinal-Type	False	False	False
NCIT:C116317	Kidney Small Cell Neuroendocrine Carcinoma	False	False	False
NCIT:C116318	Sinonasal Small Cell Neuroendocrine Carcinoma	False	False	False
NCIT:C116915	Liquid Tumor	False	False	False
NCIT:C118421	Anaplastic Plasmacytoma	False	False	False
NCIT:C118808	Childhood Colorectal Carcinoma	False	False	False
NCIT:C118809	Childhood Breast Carcinoma	False	False	False
NCIT:C118811	Childhood Laryngeal Carcinoma	False	False	False
NCIT:C118812	Childhood Esophageal Carcinoma	False	False	False
NCIT:C118813	Childhood Gastric Carcinoma	False	False	False
NCIT:C118814	Childhood Lung Non-Small Cell Carcinoma	False	False	False
NCIT:C118815	Childhood Lung Small Cell Carcinoma	False	False	False
NCIT:C118817	Childhood Nasal Cavity Carcinoma	False	False	False
NCIT:C118818	Childhood Paranasal Sinus Carcinoma	False	False	False
NCIT:C118819	Childhood Parathyroid Gland Carcinoma	False	False	False
NCIT:C118820	Adult Penile Carcinoma	False	False	False
NCIT:C118821	Childhood Malignant Penile Neoplasm	False	False	False
NCIT:C118823	Childhood Rectal Carcinoma	False	False	False
NCIT:C118824	Childhood Salivary Gland Carcinoma	False	False	False
NCIT:C118825	Adult Salivary Gland Carcinoma	False	False	False
NCIT:C118826	Childhood Malignant Small Intestinal Neoplasm	False	False	False
NCIT:C118827	Childhood Thyroid Gland Carcinoma	False	False	False
NCIT:C118828	Orbital Melanoma	False	False	False
NCIT:C120044	Mouse Colon Adenocarcinoma	False	False	False
NCIT:C120454	Male Malignant Nipple Neoplasm	False	False	False
NCIT:C120455	Female Malignant Nipple Neoplasm	False	False	False
NCIT:C120456	Malignant Kidney Neoplasm Except Renal Pelvis	False	False	False
NCIT:C121131	Infiltrating Intramuscular Lipoma	False	False	False
NCIT:C121152	FSH-Producing Pituitary Neuroendocrine Tumor	False	False	False
NCIT:C121153	LH-Producing Pituitary Neuroendocrine Tumor	False	False	False
NCIT:C121154	Proliferative Myositis	False	False	False
NCIT:C121181	Mammary-Type Myofibroblastoma	False	False	False
NCIT:C121500	Malignant Fibrohistiocytic Neoplasm	False	False	False
NCIT:C121566	Rat Insulinoma	False	False	False
NCIT:C121567	Rat Neuroblastoma	False	False	False
NCIT:C121568	Rat Adrenal Gland Pheochromocytoma	False	False	False
NCIT:C121571	Leiomyosarcoma of Deep Soft Tissue	False	False	False
NCIT:C121583	Non-Cutaneous Leiomyosarcoma	False	False	False
NCIT:C121654	Spindle Cell/Sclerosing Rhabdomyosarcoma	False	False	False
