term_id	exclusion_reason
icd11.foundation:1027858090	MONDO:excludeNonDisease
icd11.foundation:1027933849	MONDO:excludeNonDisease
icd11.foundation:1028175750	MONDO:excludeNonDisease
icd11.foundation:1028293250	MONDO:excludeNonDisease
icd11.foundation:102833469	MONDO:excludeNonDisease
icd11.foundation:1028419391	MONDO:excludeNonDisease
icd11.foundation:1028423735	MONDO:excludeNonDisease
icd11.foundation:1028480019	MONDO:excludeNonDisease
icd11.foundation:1028502910	MONDO:excludeNonDisease
icd11.foundation:1028513014	MONDO:excludeNonDisease
icd11.foundation:1028538547	MONDO:excludeNonDisease
icd11.foundation:1028562547	MONDO:excludeNonDisease
icd11.foundation:102865762	MONDO:excludeNonDisease
icd11.foundation:1028710155	MONDO:excludeNonDisease
icd11.foundation:1028730511	MONDO:excludeNonDisease
icd11.foundation:1028827364	MONDO:excludeNonDisease
icd11.foundation:1028882373	MONDO:excludeNonDisease
icd11.foundation:1028905206	MONDO:excludeNonDisease
icd11.foundation:1028938182	MONDO:excludeNonDisease
icd11.foundation:1028944991	MONDO:excludeNonDisease
icd11.foundation:1029040655	MONDO:excludeNonDisease
icd11.foundation:1029044525	MONDO:excludeNonDisease
icd11.foundation:102920694	MONDO:excludeNonDisease
icd11.foundation:1029224135	MONDO:excludeNonDisease
icd11.foundation:1029344912	MONDO:excludeNonDisease
icd11.foundation:1029396223	MONDO:excludeNonDisease
icd11.foundation:1029476074	MONDO:excludeNonDisease
icd11.foundation:1029480963	MONDO:excludeNonDisease
icd11.foundation:1029543860	MONDO:excludeNonDisease
icd11.foundation:1029553784	MONDO:excludeNonDisease
icd11.foundation:102957544	MONDO:excludeNonDisease
icd11.foundation:1029672052	MONDO:excludeNonDisease
icd11.foundation:1029718078	MONDO:excludeNonDisease
icd11.foundation:1029748531	MONDO:excludeNonDisease
icd11.foundation:1029833075	MONDO:excludeNonDisease
icd11.foundation:102985103	MONDO:excludeNonDisease
icd11.foundation:102988723	MONDO:excludeNonDisease
icd11.foundation:1029926398	MONDO:excludeNonDisease
icd11.foundation:1029957852	MONDO:excludeNonDisease
icd11.foundation:1029961628	MONDO:excludeNonDisease
icd11.foundation:1029990166	MONDO:excludeNonDisease
icd11.foundation:1030064818	MONDO:excludeNonDisease
icd11.foundation:1030088331	MONDO:excludeNonDisease
icd11.foundation:1030095755	MONDO:excludeNonDisease
icd11.foundation:103012132	MONDO:excludeNonDisease
icd11.foundation:1030216861	MONDO:excludeNonDisease
icd11.foundation:1030273657	MONDO:excludeNonDisease
icd11.foundation:1030373689	MONDO:excludeNonDisease
icd11.foundation:1030397023	MONDO:excludeNonDisease
icd11.foundation:1030421912	MONDO:excludeNonDisease
icd11.foundation:1030424990	MONDO:excludeNonDisease
icd11.foundation:103047056	MONDO:excludeNonDisease
icd11.foundation:1030557905	MONDO:excludeNonDisease
icd11.foundation:1030567665	MONDO:excludeNonDisease
icd11.foundation:1030583047	MONDO:excludeNonDisease
icd11.foundation:1030708045	MONDO:excludeNonDisease
icd11.foundation:1030759874	MONDO:excludeNonDisease
icd11.foundation:1030762471	MONDO:excludeNonDisease
icd11.foundation:1030837026	MONDO:excludeNonDisease
icd11.foundation:1030867929	MONDO:excludeNonDisease
icd11.foundation:1030933583	MONDO:excludeNonDisease
icd11.foundation:1031000060	MONDO:excludeNonDisease
