subject_id	subject_label
ICD10CM:S60.812S	Abrasion of left wrist, sequela
ICD10CM:S60.812D	Abrasion of left wrist, subsequent encounter
ICD10CM:S00.511	Abrasion of lip
ICD10CM:S00.51	Abrasion of lip and oral cavity
ICD10CM:S00.511A	Abrasion of lip, initial encounter
ICD10CM:S00.511S	Abrasion of lip, sequela
ICD10CM:S00.511D	Abrasion of lip, subsequent encounter
ICD10CM:S30.810	Abrasion of lower back and pelvis
ICD10CM:S30.810A	Abrasion of lower back and pelvis, initial encounter
ICD10CM:S30.810S	Abrasion of lower back and pelvis, sequela
ICD10CM:S30.810D	Abrasion of lower back and pelvis, subsequent encounter
ICD10CM:S80.81	Abrasion of lower leg
ICD10CM:S20.314	Abrasion of middle front wall of thorax
ICD10CM:S20.314A	Abrasion of middle front wall of thorax, initial encounter
ICD10CM:S20.314S	Abrasion of middle front wall of thorax, sequela
ICD10CM:S20.314D	Abrasion of middle front wall of thorax, subsequent encounter
ICD10CM:S00.31	Abrasion of nose
ICD10CM:S00.31XA	Abrasion of nose, initial encounter
ICD10CM:S00.31XS	Abrasion of nose, sequela
ICD10CM:S00.31XD	Abrasion of nose, subsequent encounter
ICD10CM:S00.512	Abrasion of oral cavity
ICD10CM:S00.512A	Abrasion of oral cavity, initial encounter
ICD10CM:S00.512S	Abrasion of oral cavity, sequela
ICD10CM:S00.512D	Abrasion of oral cavity, subsequent encounter
ICD10CM:S60.418	Abrasion of other finger
ICD10CM:S60.418A	Abrasion of other finger, initial encounter
ICD10CM:S60.418S	Abrasion of other finger, sequela
ICD10CM:S60.418D	Abrasion of other finger, subsequent encounter
ICD10CM:S00.81	Abrasion of other part of head
ICD10CM:S00.81XA	Abrasion of other part of head, initial encounter
ICD10CM:S00.81XS	Abrasion of other part of head, sequela
ICD10CM:S00.81XD	Abrasion of other part of head, subsequent encounter
ICD10CM:S10.81	Abrasion of other specified part of neck
ICD10CM:S10.81XA	Abrasion of other specified part of neck, initial encounter
ICD10CM:S10.81XS	Abrasion of other specified part of neck, sequela
ICD10CM:S10.81XD	Abrasion of other specified part of neck, subsequent encounter
ICD10CM:S30.812	Abrasion of penis
ICD10CM:S30.812A	Abrasion of penis, initial encounter
ICD10CM:S30.812S	Abrasion of penis, sequela
ICD10CM:S30.812D	Abrasion of penis, subsequent encounter
ICD10CM:S20.411	Abrasion of right back wall of thorax
ICD10CM:S20.411A	Abrasion of right back wall of thorax, initial encounter
ICD10CM:S20.411S	Abrasion of right back wall of thorax, sequela
ICD10CM:S20.411D	Abrasion of right back wall of thorax, subsequent encounter
ICD10CM:S00.411	Abrasion of right ear
ICD10CM:S00.411A	Abrasion of right ear, initial encounter
ICD10CM:S00.411S	Abrasion of right ear, sequela
ICD10CM:S00.411D	Abrasion of right ear, subsequent encounter
